bin,disposition,status,event_m,reference_m,q_event,q_reference,Delta_H11,MASS_COMPONENT_11,WITHIN_DISPOSITION_COMPONENT_11,identity_residual_11,Delta_H01,MASS_COMPONENT_01,WITHIN_DISPOSITION_COMPONENT_01,identity_residual_01
B8,RTF,DEFINED,0.14580679066582555,0.26498422712933756,0.5926835996281862,0.8690476190476191,-0.1438666181298694,-0.08710268972023388,-0.05676392840963553,2.0816681711721685e-17,0.024689181666357397,-0.03207474674327813,0.05676392840963553,-6.938893903907228e-18
B8,NAT,DEFINED,0.27560450251671376,0.31230283911671924,0.5279085183284878,0.8787878787878788,-0.12895398495855553,-0.025811708937695705,-0.10314227602085983,0.0,0.09225564835855,-0.010886627662309783,0.10314227602085983,-4.163336342344337e-17
B8,UNF,DEFINED,0.0038906414300736063,0.0031545741324921135,0.6756756756756757,1.0,-0.0005257623554153525,0.0006167050331088184,-0.0011424673885241708,0.0,0.0012618296529968455,0.00011936226447267453,0.0011424673885241708,2.168404344971009e-19
B8,OTHER,DEFINED,0.004053839183466076,0.01892744479495268,0.677249726300182,1.0,-0.01618198331748533,-0.01247337547048138,-0.0037086078470039484,-2.168404344971009e-18,0.0013083777059987231,-0.0024002301410052254,0.0037086078470039484,4.336808689942018e-19
B8,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B9,GOA,DEFINED,0.2956866804692892,0.17391304347826086,0.8898354533784572,0.9166666666666666,0.10369220151828851,0.10999216669494899,-0.006299965176660503,2.0816681711721685e-17,0.018081435472739823,0.011781470296079337,0.006299965176660503,-1.734723475976807e-17
B9,RTF,DEFINED,0.18576796257955677,0.25603864734299514,0.8439692891934286,0.8490566037735849,-0.06060884901464611,-0.05948504441051188,-0.0011238046041342174,-1.0408340855860843e-17,-0.009661835748792268,-0.01078564035292649,0.0011238046041342174,3.469446951953614e-18
B9,NAT,DEFINED,0.3128977839122767,0.27053140096618356,0.8231834334027692,0.8392857142857144,0.03051913196840733,0.035216402273517675,-0.004697270305110362,1.9081958235744878e-17,0.011847250977685762,0.007149980672575452,0.004697270305110362,-5.204170427930421e-17
B9,UNF,NOT_DEFINED_IN_CELL,0.00644122383252818,0.0,1.0,,0.00644122383252818,,,,0.0,,,
B9,OTHER,DEFINED,0.0024154589371980675,0.033816425120772944,0.0,1.0,-0.033816425120772944,-0.01570048309178744,-0.018115942028985504,0.0,0.0024154589371980675,-0.01570048309178744,0.018115942028985504,3.469446951953614e-18
B9,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
B10,GOA,DEFINED,0.1775009337358006,0.23163841807909605,0.9458903140852934,1.0,-0.06374200411730677,-0.052672803206281434,-0.01106920091102534,6.938893903907228e-18,0.0096045197740113,-0.0014646811370140303,0.01106920091102534,-8.673617379884035e-18
B10,RTF,DEFINED,0.22155378810947818,0.2570621468926554,0.8969357502403176,0.9340659340659341,-0.041393481193723325,-0.03250793236947408,-0.00888554882424927,2.42861286636753e-17,0.005885122410546138,-0.0030004264137031317,0.00888554882424927,0.0
B10,NAT,DEFINED,0.33301802058272795,0.2655367231638418,0.8043551627142898,0.7446808510638299,0.07012465113826055,0.05226547997916355,0.01785917115909698,2.0816681711721685e-17,-0.002643353719374422,0.015215817439722591,-0.01785917115909698,-3.469446951953614e-17
B10,UNF,NOT_DEFINED_IN_CELL,0.0014124293785310734,0.0,1.0,,0.0014124293785310734,,,,0.0,,,
B10,OTHER,DEFINED,0.003531073446327684,0.011299435028248588,1.0,1.0,-0.0077683615819209035,-0.0077683615819209035,0.0,0.0,0.0,-0.0,-0.0,0.0
B10,MISSING,NOT_DEFINED_IN_CELL,0.0,0.0,,,0.0,,,,0.0,,,
