bin,disposition,event_H01,reference_H01,Delta_H01,event_H11,reference_H11,Delta_H11,event_m,reference_m
B8,NAT,0.13011053794845537,0.03785488958990536,0.09225564835855,0.14549396456825836,0.2744479495268139,-0.12895398495855553,0.27560450251671376,0.31230283911671924
B8,UNF,0.0012618296529968455,0.0,0.0012618296529968455,0.002628811777076761,0.0031545741324921135,-0.0005257623554153525,0.0038906414300736063,0.0031545741324921135
B8,OTHER,0.0013083777059987231,0.0,0.0013083777059987231,0.002745461477467353,0.01892744479495268,-0.01618198331748533,0.004053839183466076,0.01892744479495268
B8,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B9,GOA,0.03257418909592823,0.014492753623188404,0.018081435472739823,0.26311249137336096,0.15942028985507245,0.10369220151828851,0.2956866804692892,0.17391304347826086
B9,RTF,0.028985507246376812,0.03864734299516908,-0.009661835748792268,0.15678245533317997,0.21739130434782608,-0.06060884901464611,0.18576796257955677,0.25603864734299514
B9,NAT,0.05532551184725098,0.043478260869565216,0.011847250977685762,0.2575722720650257,0.22705314009661837,0.03051913196840733,0.3128977839122767,0.27053140096618356
B9,UNF,0.0,0.0,0.0,0.00644122383252818,0.0,0.00644122383252818,0.00644122383252818,0.0
B9,OTHER,0.0024154589371980675,0.0,0.0024154589371980675,0.0,0.033816425120772944,-0.033816425120772944,0.0024154589371980675,0.033816425120772944
B9,MISSING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10,GOA,0.0096045197740113,0.0,0.0096045197740113,0.16789641396178928,0.23163841807909605,-0.06374200411730677,0.1775009337358006,0.23163841807909605
B10,RTF,0.02283427495291902,0.01694915254237288,0.005885122410546138,0.19871951315655917,0.2401129943502825,-0.041393481193723325,0.22155378810947818,0.2570621468926554
B10,NAT,0.0651532564501171,0.06779661016949153,-0.002643353719374422,0.26786476413261084,0.1977401129943503,0.07012465113826055,0.33301802058272795,0.2655367231638418
B10,UNF,0.0,0.0,0.0,0.0014124293785310734,0.0,0.0014124293785310734,0.0014124293785310734,0.0
B10,OTHER,0.0,0.0,0.0,0.003531073446327684,0.011299435028248588,-0.0077683615819209035,0.003531073446327684,0.011299435028248588
