window_start,bin,Delta_J00,Delta_J10,Delta_J01,Delta_J11,Delta_arrival,Delta_dispatch,simplex_error,arrival_identity_error,dispatch_identity_error
2021-04-25,B9,-0.0032350948509485087,0.010110248829761026,0.0,-0.006875153978812511,-0.006875153978812511,0.0032350948509485148,6.071532165918825e-18,0.0,0.0
2021-04-25,B10,0.014985254215892804,0.0017323565625196055,0.0,-0.016717610778412422,-0.016717610778412422,-0.014985254215892817,-1.3010426069826053e-17,0.0,0.0
2021-05-02,B1,0.0169575665591602,0.05501109116646965,0.0,-0.07196865772562983,-0.07196865772562983,-0.016957566559160177,2.42861286636753e-17,0.0,0.0
2021-05-02,B2,-0.005070954049812101,-0.023116625079806448,0.0,0.02818757912961853,0.02818757912961853,0.005070954049812081,-2.0816681711721685e-17,0.0,0.0
2021-05-02,B3,-0.019447775394066964,0.06480149969067274,0.0,-0.045353724296605794,-0.045353724296605794,0.019447775394066946,-1.734723475976807e-17,0.0,0.0
2021-05-02,B4,0.012382146490633112,-0.011646863274685185,0.0,-0.000735283215947934,-0.000735283215947934,-0.01238214649063312,-6.288372600415926e-18,0.0,0.0
2021-05-02,B5,0.03164053087833576,-0.013095238095238096,0.0,-0.018545292783097644,-0.018545292783097644,-0.03164053087833574,1.9081958235744878e-17,0.0,0.0
2021-05-02,B6,0.03641156213619983,-0.006577145345261288,0.0,-0.029834416790938522,-0.029834416790938522,-0.03641156213619981,2.0816681711721685e-17,0.0,0.0
2021-05-02,B7,0.02876845969794688,0.03029539904539904,0.0,-0.05906385874334592,-0.05906385874334592,-0.028768459697946884,-3.469446951953614e-18,0.0,0.0
2021-05-02,B8,-0.021106860287651255,0.022334305159163913,0.0,-0.0012274448715126653,-0.0012274448715126653,0.021106860287651248,-6.938893903907228e-18,0.0,0.0
2021-05-02,B9,-0.017122017497957345,0.001245673708079723,0.0,0.015876343789877637,0.015876343789877637,0.01712201749795736,1.431146867680866e-17,0.0,0.0
2021-05-02,B10,-0.008607709171696048,-0.014276813902531698,0.0,0.022884523074227774,0.022884523074227774,0.008607709171696076,2.7755575615628914e-17,0.0,0.0
2021-05-09,B1,-0.030534586940836946,0.014884374204227148,0.0,0.01565021273660979,0.01565021273660979,0.03053458694083694,-6.938893903907228e-18,0.0,0.0
2021-05-09,B2,-0.02934090854543527,0.04214558536604078,0.0,-0.012804676820605525,-0.012804676820605525,0.029340908545435255,-1.3877787807814457e-17,0.0,0.0
2021-05-09,B3,0.01977504921466596,-0.0013383666904165964,0.0,-0.018436682524249376,-0.018436682524249376,-0.019775049214665972,-1.0842021724855044e-17,0.0,0.0
2021-05-09,B4,0.0033246829379888175,0.01400173162172905,0.0,-0.017326414559717857,-0.017326414559717857,-0.003324682937988807,1.0408340855860843e-17,0.0,0.0
2021-05-09,B5,-0.033658301042290596,0.03170448753514242,0.0,0.001953813507148172,0.001953813507148172,0.03365830104229059,-4.336808689942018e-18,0.0,0.0
2021-05-09,B6,0.009400205554877951,-0.01231678824947711,0.0,0.002916582694599163,0.002916582694599163,-0.009400205554877947,4.336808689942018e-18,0.0,0.0
2021-05-09,B7,-0.01125947973774061,-0.0333011665985804,0.0,0.04456064633632101,0.04456064633632101,0.011259479737740608,-1.734723475976807e-18,0.0,0.0
2021-05-09,B8,0.010982662709935434,0.010686452543595397,0.0,-0.021669115253530834,-0.021669115253530834,-0.010982662709935438,-3.469446951953614e-18,0.0,0.0
