window_start,bin,common_support_strata,event_coverage,reference_coverage,event_record_count,reference_record_count,weight_vector_hash,schema_era,timestamp_validity
2020-02-16,B10,70,0.9372384937238494,0.9370229007633588,478,524,bfa387d7377e6f1da6b5ba318eec8b46f2af6f4bb0e31d8ffa814c7474bfb85c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B1,54,0.896969696969697,0.8429906542056075,330,535,f9d1f6d14521284fe0d25811019bbf99c452ae843cb9835e7165e4215b4e4939,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B2,75,0.9372197309417041,0.94,446,650,301aff3f69e180ee99219aedab4e052d69718b39b475f69e9a4341219e748923,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B3,60,0.8783783783783784,0.9142857142857143,370,420,930b5fd6e46fd53e348c775ca3789c47debb6a94317ac650437338906a136d3b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B4,73,0.9356846473029046,0.9337748344370861,482,604,7691f891318539ecf47bfca1943e1032ecbf4de0280fed316f9f2e4851ad68bf,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B5,57,0.8958990536277602,0.8387909319899244,317,397,c4082a5fbe8383907e421af6a7c7f27932912968fc9bad0e8ed805fd437b17e9,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B6,69,0.9501133786848073,0.8945908460471568,441,721,a294005525acf3ef8d517bb6f26760b55632ef2d367a5eb4dc47858c68627afe,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B7,55,0.924924924924925,0.8663594470046083,333,434,ab5c68d00cb0bf52a26d86b401a0133d4053290879f49a8cdf7509af55e583d1,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B8,71,0.9320388349514563,0.9012345679012346,515,567,c6753f2b270c4e83db04bea62e3a8c102177c66b3b6f8eb97e797f2af527c3e7,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B9,50,0.916923076923077,0.8614958448753463,325,361,8c2fb5d1e5ddd02dc86dc7decd4a72bb19c9fc3e5f6efc808ec3fa359fa97f0c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-01,B10,70,0.9154411764705882,0.9497206703910615,544,537,93b91d64a08f4932a0385378e840428f5a3fc306e3319a97d3dfb951c4f5afc8,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B1,49,0.8812949640287769,0.8606060606060606,278,330,6aa9bcc232004837b47f66d20549209112b56b00fa3ef67dc88e4cd130cf2d09,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B2,74,0.9596602972399151,0.9349775784753364,471,446,2958f83a51521735c326080a541bc9de6f43fa5ce62dc521a5c765be40b3fe2c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B3,60,0.8768768768768769,0.8945945945945946,333,370,e9ef96a130f5ba12a09ece87f35b4a410c2e05dda768551122226d5384a77e59,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B4,77,0.9247104247104247,0.9356846473029046,518,482,835f1c1ec4ba8f1b0d57e62ebdac48ddb9109c3cf294119514aef4e56241760a,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B5,56,0.8866279069767442,0.8958990536277602,344,317,23c4ebb1a0d37b9c5dbd4146b2f00b23934197469d9f380bc3dbdd25738ca1b1,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B6,64,0.8995433789954338,0.9160997732426304,438,441,553172b51d7638d38e5a5e87ee403219eeaf35cb80232d5ebc101c8ef8bc8bd6,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B7,52,0.89171974522293,0.9279279279279279,314,333,cf92f3d79d75e8442e129122aa80351a06efdb1177d71ab7f3b74591614b6cbb,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B8,67,0.9308300395256917,0.9106796116504854,506,515,76b80c7f06c7eee0a8cec8b029b01953f0eb62d006d0b3de8def25f1967bb169,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B9,56,0.8760806916426513,0.9415384615384615,347,325,83f25650d786f76f4f94ac546ad008a9588e001c9b28489cb618ffebe492615f,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-08,B10,72,0.9317269076305221,0.9246323529411765,498,544,3fb65546f11b77f8b52daa1a5708b1d99f2ebe1fd30f915d8a63bc231b3c2161,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B1,49,0.8524590163934426,0.8705035971223022,305,278,46d095dd6341bbc3f0b184ac76f21d568c12a95b8d35fc04f041a5a143e698ec,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B2,73,0.9408033826638478,0.9617834394904459,473,471,824be3293a86bcb88da8f327995bbba2393ba76d2ff6540ebaec15f5b9a4a98f,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B3,62,0.9019607843137255,0.9039039039039038,306,333,4aabffcfff45dc1f04fc1b642386d45806411a0e8107cf074e824d3c0c884897,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B4,74,0.9211045364891519,0.9305019305019305,507,518,371788a9a4b477db1d5f0ca9c6b5d7ce11f56bffdc20423e107be812d73fff5b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B5,48,0.8754325259515571,0.8459302325581395,289,344,b961477e6df7125f5f6a6e1aea96c9cf1b403a7fa31bc9e19449ff2abb493ea9,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B6,67,0.9270588235294117,0.9429223744292238,425,438,8494ad113cff20da440f4b4d69149e70fb061091ba08437f9a76fc0b149e270e,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B7,51,0.935374149659864,0.8789808917197452,294,314,081f2a4e8fde532740aac7e130089b1dffa449e108496668786837a6188c123c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B8,73,0.9576837416481069,0.9367588932806324,449,506,d2431f295a55a5e80a805924455c2718f55f61ff161b628ace3cea1c04206a8b,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B9,55,0.9103448275862069,0.8847262247838616,290,347,d35e7a851ea98de8491ab95370509342016aa6a9abf785f80761e62a6c885e0c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-15,B10,68,0.9642147117296223,0.891566265060241,503,498,97db7da0d0c34a9bfd7293701dd291bb97b9bbcc12a82f5fe63bff984314cf6e,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B1,43,0.8342245989304813,0.7475409836065574,187,305,38c30f7110f7fee6fe96296e5770c130b4c0f460e816ed842c74878801f7efa7,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B2,66,0.8489702517162472,0.9133192389006343,437,473,706563fe9b3cb5a36f536a74d7f8788bbdb270c7de245911b4ee71f0b6c80255,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B3,54,0.9026548672566371,0.8725490196078431,339,306,6666ef8cc612954cdb06efc890ff8de660167dad90afe7d4eee27a6c81cb42bd,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B4,68,0.8615751789976134,0.893491124260355,419,507,20eca9fac9f8150ea92d6ed4a3a76ccb18919475ff0fea4a276c9fd7bd70412c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B5,44,0.8652173913043478,0.8235294117647058,230,289,43b391d80a62c9d7f7361653dcd089b25da08a3f7f65a35c5afaec9eae618e16,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B6,66,0.8609112709832134,0.9294117647058824,417,425,80cd8db90ad841bf6a2050b11b4bf81f6e9b37aea6143769f1f77011a5cd0136,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B7,35,0.8223350253807107,0.7721088435374149,197,294,3852b9d71f8a022a072943143a3f464701d095b3a375fb639b1bef077c7d6e23,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B8,66,0.8896713615023474,0.9242761692650334,426,449,97642d40c69ad2974735a4ad0d881d8b0a20fc87a1a4c361cdfb4fcefb9c1103,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B9,43,0.9061224489795918,0.8310344827586207,245,290,b1b7261b2a7001abc14f02c91809c933cc20d713c9c6263929b1f13cae177686,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-22,B10,64,0.8671023965141612,0.94831013916501,459,503,6e963312d251812b545a907040f2080e42776eecc8bc276b9538c93c5140defa,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B1,44,0.875,0.9197860962566845,288,187,b6e8aa12507fde6882328f60b39c6ecfc45cc73aa17e3fbe3489fe890e92bcbf,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B2,65,0.937888198757764,0.954233409610984,483,437,692abd088ac73a983ae4c3e4d2160965a1c2878679693f3a6dbfbc237e1be16c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B3,46,0.8793103448275862,0.8967551622418879,290,339,375ec08e829a51ee8544019da9e71abeff3c1ea6cd2c21358559faab0c926885,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B4,61,0.9197080291970803,0.9260143198090692,411,419,7faf9085d408f5a11797b86b1c791c46469312b15e8d1913a321774ebcdde917,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B5,46,0.825,0.9260869565217391,320,230,f62b271381c2af9de7040d7def654923845b6381ceb7b7d94429841b3fd16d96,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B6,62,0.9532293986636972,0.9016786570743405,449,417,5583254a96a9a4ce0857edef24bc548b226657142731c7d504165d79ca5929e3,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B7,37,0.7592592592592593,0.883248730964467,270,197,d2a572c91f8c48c18ba640a2fde14c300f1f31d582443e07859eee70a67863ea,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B8,57,0.9104803493449781,0.892018779342723,458,426,99862952328c2184453ccfa37a8e7cabb1e01acf93c31f45e68cb24688842b23,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-03-29,B9,43,0.8801169590643275,0.8938775510204081,342,245,cd276f763480a0cd31f499f4c605dcf32dc39700110685122852db4b7c6ae0bd,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
