window_start,lower,upper,width,feasible_start_count,refinement_trigger_Ida,refinement_trigger_0_25,refinement_status,root_certificate
2021-01-03,0.052314193701774404,0.08650103894778999,0.03418684524601558,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.052314203701774406, ""Q_dimension"": 7, ""raw"": 0.052314203701774406, ""spectral"": 0.01839224499417805, ""support_only"": 0.0}"
2021-01-10,0.020107581121749908,0.061843015525597435,0.04173543440384753,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.02010759112174991, ""Q_dimension"": 7, ""raw"": 0.02010759112174991, ""spectral"": 0.007044803161842127, ""support_only"": 0.0}"
2021-01-24,0.07072839384466545,0.07072840384466551,1.000000006412538e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07072840384466544, ""Q_dimension"": 7, ""raw"": 0.07072840384466544, ""spectral"": 0.027483065611952656, ""support_only"": 0.0}"
2021-01-31,0.12140198907358085,0.12140199907358126,1.0000000411070076e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.12140199907358085, ""Q_dimension"": 7, ""raw"": 0.12140199907358085, ""spectral"": 0.038950840187484174, ""support_only"": 0.0}"
2021-02-07,0.0584077025856543,0.058407712585654276,9.99999997391976e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.0584077125856543, ""Q_dimension"": 7, ""raw"": 0.0584077125856543, ""spectral"": 0.019000172380225784, ""support_only"": 0.0}"
2021-02-21,0.05844363099339129,0.05844364099339121,9.999999918408609e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05844364099339129, ""Q_dimension"": 7, ""raw"": 0.05844364099339129, ""spectral"": 0.018162418863058916, ""support_only"": 0.0}"
2021-02-28,0.02922650233742667,0.029226512337426618,9.999999946164184e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.029226512337426673, ""Q_dimension"": 7, ""raw"": 0.029226512337426673, ""spectral"": 0.00939725227002634, ""support_only"": 0.0}"
2021-03-07,0.031817859636574505,0.0483617506733183,0.016543891036743794,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03181786963657451, ""Q_dimension"": 7, ""raw"": 0.03181786963657451, ""spectral"": 0.009959999263631373, ""support_only"": 0.0}"
2021-03-14,0.05882562249979658,0.05882563249979656,9.999999980858654e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05882563249979658, ""Q_dimension"": 7, ""raw"": 0.05882563249979658, ""spectral"": 0.0198625649737998, ""support_only"": 0.0}"
2021-03-21,0.05546450154313417,0.05546451154313401,9.999999842080776e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05546451154313417, ""Q_dimension"": 7, ""raw"": 0.05546451154313417, ""spectral"": 0.018421115851949308, ""support_only"": 0.0}"
2021-03-28,0.036532755354376896,0.03653276535437663,9.999999731058473e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.0365327653543769, ""Q_dimension"": 7, ""raw"": 0.0365327653543769, ""spectral"": 0.014769558509655837, ""support_only"": 0.0}"
2021-04-11,0.028108823291080047,0.028108833291079882,9.999999835141882e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.02810883329108005, ""Q_dimension"": 7, ""raw"": 0.02810883329108005, ""spectral"": 0.00888860457190582, ""support_only"": 0.0}"
2021-04-18,0.03135172445266755,0.035041481110419714,0.0036897566577521676,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03135173445266755, ""Q_dimension"": 7, ""raw"": 0.03135173445266755, ""spectral"": 0.010166428574958418, ""support_only"": 0.0}"
2021-04-25,0.031715506712142585,0.037923604986891075,0.00620809827474849,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03171551671214259, ""Q_dimension"": 7, ""raw"": 0.03171551671214259, ""spectral"": 0.010417136572141975, ""support_only"": 0.0}"
2021-05-02,0.04097418090878689,0.05007811842762418,0.009103937518837285,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.040974190908786894, ""Q_dimension"": 7, ""raw"": 0.040974190908786894, ""spectral"": 0.01303135943510169, ""support_only"": 0.0}"
2021-05-09,0.033114870794925914,0.03311488079492592,1.000000000861423e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.033114880794925916, ""Q_dimension"": 7, ""raw"": 0.033114880794925916, ""spectral"": 0.012485958827326022, ""support_only"": 0.0}"
2021-05-16,0.028047221074182914,0.028260376008023225,0.00021315493384031076,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.028047231074182916, ""Q_dimension"": 7, ""raw"": 0.028047231074182916, ""spectral"": 0.008464510346158114, ""support_only"": 0.0}"
2021-05-23,0.04980338166543106,0.04980339166543082,9.999999758814049e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04980339166543106, ""Q_dimension"": 7, ""raw"": 0.04980339166543106, ""spectral"": 0.014855620244601625, ""support_only"": 0.0}"
2021-05-30,0.0593811261134427,0.05938113611344277,1.0000000071064274e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.0593811361134427, ""Q_dimension"": 7, ""raw"": 0.0593811361134427, ""spectral"": 0.01819936483115312, ""support_only"": 0.0}"
2021-06-06,0.04624319531630409,0.04624320531630393,9.999999842080776e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04624320531630409, ""Q_dimension"": 7, ""raw"": 0.04624320531630409, ""spectral"": 0.01676787085802287, ""support_only"": 0.0}"
2021-06-13,0.030100710112439952,0.030100720112439767,9.9999998143252e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.030100720112439954, ""Q_dimension"": 7, ""raw"": 0.030100720112439954, ""spectral"": 0.009848165898315105, ""support_only"": 0.0}"
2021-06-20,0.05970198260442785,0.05970199260442763,9.99999977963073e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05970199260442785, ""Q_dimension"": 7, ""raw"": 0.05970199260442785, ""spectral"": 0.021544170804881836, ""support_only"": 0.0}"
2021-06-27,0.05141649393493924,0.051416503934939246,1.000000000861423e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05141650393493924, ""Q_dimension"": 7, ""raw"": 0.05141650393493924, ""spectral"": 0.01744744591856646, ""support_only"": 0.0}"
2021-07-11,0.07146683697616392,0.07146684697616316,9.9999992453359e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07146684697616391, ""Q_dimension"": 7, ""raw"": 0.07146684697616391, ""spectral"": 0.023233809920287604, ""support_only"": 0.0}"
2021-07-18,0.0625670689733238,0.06256707897332375,9.999999953103078e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.0625670789733238, ""Q_dimension"": 7, ""raw"": 0.0625670789733238, ""spectral"": 0.020013182824296535, ""support_only"": 0.0}"
2021-07-25,0.06132888021810761,0.061328890218107154,9.999999543708338e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06132889021810761, ""Q_dimension"": 7, ""raw"": 0.06132889021810761, ""spectral"": 0.022871797341320884, ""support_only"": 0.0}"
